ColumnIndex,HeaderName,Empty,AllFiveIdentical,FilesWithHeader,HeaderNameConflict,Classification,varexp_main.csv,plc_m_varexp.csv,G03_varexp.csv,BFU_varexp.csv,E02_varexp.csv
1,Class,FALSE,TRUE,5,FALSE,Known,Class,Class,Class,Class,Class
2,Tagname,FALSE,TRUE,5,FALSE,Known,Tagname,Tagname,Tagname,Tagname,Tagname
3,n1 | n1(Factory),FALSE,FALSE,5,TRUE,Unknown,n1,n1(Factory),n1(Factory),n1(Factory),n1(Factory)
4,n2 | n2(System),FALSE,FALSE,5,TRUE,Unknown,n2,n2(System),n2(System),n2(System),n2(System)
5,n3 | n3(Name),FALSE,FALSE,5,TRUE,Unknown,n3,n3(Name),n3(Name),n3(Name),n3(Name)
6,n4 | n4(Signal),FALSE,FALSE,5,TRUE,Unknown,n4,n4(Signal),n4(Signal),n4(Signal),n4(Signal)
7,n5 | n5(Detail),FALSE,FALSE,5,TRUE,Unknown,n5,n5(Detail),n5(Detail),n5(Detail),n5(Detail)
8,n6 | n6(In1),FALSE,FALSE,5,TRUE,Unknown,n6,n6(In1),n6(In1),n6(In1),n6(In1)
9,n7 | n7(In2),FALSE,FALSE,5,TRUE,Unknown,n7,n7(In2),n7(In2),n7(In2),n7(In2)
10,n8,FALSE,TRUE,5,FALSE,Known,n8,n8,n8,n8,n8
11,n9,FALSE,TRUE,5,FALSE,Known,n9,n9,n9,n9,n9
12,n10,FALSE,TRUE,5,FALSE,Known,n10,n10,n10,n10,n10
13,n11,FALSE,TRUE,5,FALSE,Known,n11,n11,n11,n11,n11
14,n12,FALSE,TRUE,5,FALSE,Known,n12,n12,n12,n12,n12
15,,TRUE,TRUE,0,FALSE,ReservedCandidate,,,,,
16,Description,FALSE,TRUE,5,FALSE,Known,Description,Description,Description,Description,Description
17,DescriptionAlt,FALSE,TRUE,5,FALSE,Known,DescriptionAlt,DescriptionAlt,DescriptionAlt,DescriptionAlt,DescriptionAlt
18,Domain,FALSE,TRUE,5,FALSE,Known,Domain,Domain,Domain,Domain,Domain
19,Nature,FALSE,TRUE,5,FALSE,Known,Nature,Nature,Nature,Nature,Nature
20,Inhibited,FALSE,TRUE,5,FALSE,Known,Inhibited,Inhibited,Inhibited,Inhibited,Inhibited
